Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
0,1 Block NORTH MAIN,15110222,EPHRAIM,,,05/03/2016 08:00:59 PM,Friday,12,11/06/2015 12:20:00 PM,"TRESPASSING / TRESPASSING, PRIVATE PROPERTY<br>",758597485,TRESPASSING,39.3608645,"{'type': 'Point', 'coordinates': [-111.5869407, 39.3608645]}",-111.5869407,Property Crime,UT,05/03/2016 10:18:48 PM,84627
1,100 Block N 300 E,16010069,EPHRAIM,,,05/03/2016 08:00:52 PM,Sunday,17,01/03/2016 05:56:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>,758597159,SUSPICIOUS ACTIVITY,39.3626385,"{'type': 'Point', 'coordinates': [-111.579466, 39.3626385]}",-111.579466,Community Policing,UT,06/30/2016 01:03:00 PM,84627
2,200 Block N 200 E,16010500,EPHRAIM,,,05/03/2016 08:00:52 PM,Friday,3,01/15/2016 03:23:00 AM,SUSPICIOUS ACTIVITY / <br>,758597083,SUSPICIOUS ACTIVITY,39.3652444,"{'type': 'Point', 'coordinates': [-111.5817816, 39.3652444]}",-111.5817816,Community Policing,UT,07/12/2016 01:03:32 PM,84627
3,1 Block S MAIN,16010515,EPHRAIM,,,05/03/2016 08:00:52 PM,Friday,9,01/15/2016 09:43:00 AM,MISCELLANEOUS / INFORMATION ONLY<br>,758597081,MISCELLANEOUS,39.3594748,"{'type': 'Point', 'coordinates': [-111.5867614, 39.3594748]}",-111.5867614,Other,UT,07/12/2016 01:03:32 PM,84627
4,EPHRAIM CEMETERY,14070315,EPHRAIM,,,07/11/2014 01:03:20 PM,Thursday,18,07/10/2014 06:54:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>CLEARED,490848716,SUSPICIOUS ACTIVITY,39.3715228,"{'type': 'Point', 'coordinates': [-111.5881923, 39.3715228]}",-111.5881923,Community Policing,UT,01/05/2015 02:04:20 PM,84627
5,300 Block E 300 N,13050871,EPHRAIM,,null,11/12/2013 09:05:32 PM,Thursday,15,05/30/2013 03:22:00 PM,ALARM / <br>ACTIVE,290530329,ALARM,39.3652723,"{'type': 'Point', 'coordinates': [-111.578685, 39.365272]}",-111.5786853,Alarm,UT,11/26/2013 02:03:07 PM,84627
6,100 Block E 200 SOUTH,14070321,EPHRAIM,,,07/11/2014 01:03:20 PM,Thursday,22,07/10/2014 10:18:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>CLEARED,490848715,SUSPICIOUS ACTIVITY,39.3562727,"{'type': 'Point', 'coordinates': [-111.5821101, 39.3562727]}",-111.5821101,Community Policing,UT,01/05/2015 02:04:20 PM,84627
7,1 Block N MAIN,14070327,EPHRAIM,,,07/11/2014 01:03:20 PM,Friday,1,07/11/2014 01:05:00 AM,SUSPICIOUS PERSON / SUSPICIOUS PERSON<br>CLEARED,490848714,SUSPICIOUS PERSON,39.3610585,"{'type': 'Point', 'coordinates': [-111.5871022, 39.3610585]}",-111.5871022,Pedestrian Stop,UT,01/06/2015 02:04:18 PM,84627
8,,16021030,STERLING,,,05/03/2016 08:00:48 PM,Saturday,20,02/27/2016 08:38:00 PM,ASSIST OTHER AGENCY / ASSIST OTHER LAW ENFORCEMENT AGENCY<br>,758596759,ASSIST OTHER AGENCY,,,,Community Policing,UT,08/04/2016 01:04:30 PM,
9,,16030439,EPHRAIM,,,05/03/2016 08:00:48 PM,Saturday,17,03/12/2016 05:27:00 PM,"HARASSMENT / HARASSMENT, OTHER<br>",758596670,HARASSMENT,,,,Assault,UT,08/04/2016 01:03:58 PM,
10,,16030468,MANTI,,,05/03/2016 08:00:48 PM,Sunday,10,03/13/2016 10:29:00 AM,ASSIST OTHER AGENCY / ASSIST OTHER LAW ENFORCEMENT AGENCY<br>,758596664,ASSIST OTHER AGENCY,,,,Community Policing,UT,08/04/2016 01:03:59 PM,
11,200 Block W CENTER ST,15040651,EPHRAIM,,,04/21/2015 01:04:49 PM,Monday,14,04/20/2015 02:49:00 PM,MISSING PERSON / <br>ACTIVE,713281759,MISSING PERSON,39.3598611,"{'type': 'Point', 'coordinates': [-111.5930501, 39.3598611]}",-111.5930501,Missing Person,UT,10/17/2015 01:03:56 PM,84627
12,,16030056,EPHRAIM,,,05/03/2016 08:00:48 PM,Wednesday,15,03/02/2016 03:03:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>,758596736,SUSPICIOUS ACTIVITY,,,,Community Policing,UT,08/04/2016 01:04:33 PM,
13,,16030746,EPHRAIM,,,05/03/2016 08:00:48 PM,Saturday,19,03/19/2016 07:11:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>,758596615,SUSPICIOUS ACTIVITY,,,,Community Policing,UT,08/04/2016 01:04:08 PM,
14,1 Block N 180 WEST,16030411,EPHRAIM,,,05/03/2016 08:00:48 PM,Friday,19,03/11/2016 07:31:00 PM,THEFT / SHOPLIFTING<br>,758596676,THEFT,40.5590214,"{'type': 'Point', 'coordinates': [-111.9704471, 40.5590214]}",-111.9704471,Theft,UT,08/04/2016 01:03:57 PM,84095
15,,16030221,MANTI,,,05/03/2016 08:00:48 PM,Sunday,21,03/06/2016 09:54:00 PM,ASSIST OTHER AGENCY / ASSIST OTHER LAW ENFORCEMENT AGENCY<br>,758596712,ASSIST OTHER AGENCY,,,,Community Policing,UT,08/04/2016 01:03:51 PM,
16,1 Block S 300 E,16030792,EPHRAIM,,,05/03/2016 08:00:48 PM,Monday,7,03/21/2016 07:48:00 AM,"DAMAGED PROPERTY / DAMAGED PROPERTY, VEHICLE<br>",758596608,DAMAGED PROPERTY,39.3587068,"{'type': 'Point', 'coordinates': [-111.5795041, 39.3587068]}",-111.5795041,Property Crime,UT,08/04/2016 01:04:09 PM,84627
17,1 Block S 300 E,16030793,EPHRAIM,,,05/03/2016 08:00:48 PM,Monday,7,03/21/2016 07:54:00 AM,"DAMAGED PROPERTY / DAMAGED PROPERTY, VEHICLE<br>",758596607,DAMAGED PROPERTY,39.3584732,"{'type': 'Point', 'coordinates': [-111.5794682, 39.3584732]}",-111.5794682,Property Crime,UT,08/04/2016 01:04:09 PM,84627
18,100 Block S MAIN STREET,16030794,EPHRAIM,,,05/03/2016 08:00:48 PM,Monday,9,03/21/2016 09:14:00 AM,MISCELLANEOUS / TITLE IX<br>,758596606,MISCELLANEOUS,39.3571013,"{'type': 'Point', 'coordinates': [-111.5871283, 39.3571013]}",-111.5871283,Other,UT,08/04/2016 01:04:09 PM,84627
19,,16040296,EPHRAIM,,,05/03/2016 08:00:45 PM,Friday,22,04/08/2016 10:37:00 PM,"SECURITY/WELFARE CHECK / WELFARE CHECK, PERSON<br>",758596472,SECURITY/WELFARE CHECK,,,,Community Policing,UT,08/04/2016 01:03:47 PM,
20,,16040338,EPHRAIM,,,05/03/2016 08:00:45 PM,Saturday,18,04/09/2016 06:30:00 PM,"STOLEN VEHICLE / VEHICLE THEFT, MOTORCYCLE<br>",758596465,STOLEN VEHICLE,,,,Theft of Vehicle,UT,08/04/2016 01:03:48 PM,
21,1 Block W 200 SOUTH,15110930,EPHRAIM,,,05/03/2016 08:00:57 PM,Wednesday,19,11/25/2015 07:15:00 PM,"HARASSMENT / HARASSMENT, OTHER<br>",758597369,HARASSMENT,39.3562243,"{'type': 'Point', 'coordinates': [-111.5879765, 39.3562243]}",-111.5879765,Assault,UT,05/22/2016 01:04:02 PM,84627
22,,16040830,EPHRAIM,,,05/03/2016 08:00:45 PM,Thursday,17,04/21/2016 05:03:00 PM,MISC INCIDENTS / MISCELLANEOUS INCIDENTS<br>,758596357,MISC INCIDENTS,,,,Other,UT,08/04/2016 01:04:08 PM,
23,,16040836,EPHRAIM,,,05/03/2016 08:00:45 PM,Thursday,18,04/21/2016 06:06:00 PM,MISC INCIDENTS / MISCELLANEOUS INCIDENTS<br>,758596354,MISC INCIDENTS,,,,Other,UT,08/04/2016 01:04:08 PM,
24,,16040876,EPHRAIM,,,05/03/2016 08:00:45 PM,Friday,18,04/22/2016 06:15:00 PM,RECKLESS/DANGEROUS DRIVER / <br>,758596341,RECKLESS/DANGEROUS DRIVER,,,,Traffic,UT,08/04/2016 01:04:10 PM,
25,1 Block S MAIN ST,15120291,EPHRAIM,,,05/03/2016 08:00:57 PM,Wednesday,15,12/09/2015 03:32:00 PM,ABANDON VEHICLE / ABANDON VEHICLE<br>,758597275,ABANDON VEHICLE,39.3584278,"{'type': 'Point', 'coordinates': [-111.5874977, 39.3584278]}",-111.5874977,Traffic,UT,06/05/2016 01:04:24 PM,84627
26,300 Block E CENTER ST,15120292,EPHRAIM,,,05/03/2016 08:00:57 PM,Wednesday,17,12/09/2015 05:17:00 PM,"LIQUOR LAW / LIQUOR, POSSESS<br>",758597274,LIQUOR LAW,39.3592561,"{'type': 'Point', 'coordinates': [-111.5782781, 39.3592561]}",-111.5782781,Liquor,UT,06/05/2016 01:04:24 PM,84627
27,1 Block S MAIN,16040419,EPHRAIM,,,05/03/2016 08:00:45 PM,Monday,23,04/11/2016 11:01:00 PM,ASSIST OTHER AGENCY / <br>,758596452,ASSIST OTHER AGENCY,39.3594748,"{'type': 'Point', 'coordinates': [-111.5867614, 39.3594748]}",-111.5867614,Community Policing,UT,08/04/2016 01:03:50 PM,84627
28,1 Block S MAIN,16040439,EPHRAIM,,,05/03/2016 08:00:45 PM,Tuesday,13,04/12/2016 01:36:00 PM,FOUND PROPERTY / <br>,758596446,FOUND PROPERTY,39.3594748,"{'type': 'Point', 'coordinates': [-111.5867614, 39.3594748]}",-111.5867614,Property Crime,UT,08/04/2016 01:03:51 PM,84627
29,,16040955,EPHRAIM,,,05/03/2016 08:00:45 PM,Monday,13,04/25/2016 01:39:00 PM,"ACCIDENT - PROP DAMG / TRAFFIC ACCIDENT, PROPERTY DAMAGE<br>",758596330,ACCIDENT - PROP DAMG,,,,Emergency,UT,08/04/2016 01:04:12 PM,
30,,16041034,EPHRAIM,,,05/03/2016 08:00:45 PM,Wednesday,9,04/27/2016 09:20:00 AM,"OTHER ORDINANCE VIOLATION / ORDINANCE VIOLATION, OTHER<br>",758596311,OTHER ORDINANCE VIOLATION,,,,Other,UT,08/04/2016 01:04:16 PM,
31,1 Block E 700 S,15110933,EPHRAIM,,,05/03/2016 08:00:57 PM,Wednesday,23,11/25/2015 11:29:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>,758597368,SUSPICIOUS ACTIVITY,39.3471383,"{'type': 'Point', 'coordinates': [-111.5856563, 39.3471383]}",-111.5856563,Community Policing,UT,05/22/2016 01:04:02 PM,84627
32,500 Block W 100 S,15110941,EPHRAIM,,,05/03/2016 08:00:57 PM,Thursday,9,11/26/2015 09:07:00 AM,BURGLAR ALARM / BURGLAR ALARM<br>,758597367,BURGLAR ALARM,39.3582307,"{'type': 'Point', 'coordinates': [-111.5997536, 39.3582307]}",-111.5997536,Alarm,UT,05/23/2016 01:04:00 PM,84627
33,1 Block W 200 S,15120302,EPHRAIM,,,05/03/2016 08:00:57 PM,Wednesday,21,12/09/2015 09:16:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>,758597273,SUSPICIOUS ACTIVITY,39.3562208,"{'type': 'Point', 'coordinates': [-111.5893898, 39.3562208]}",-111.5893898,Community Policing,UT,06/05/2016 01:04:24 PM,84627
34,200 Block E 100 N,15120303,EPHRAIM,,,05/03/2016 08:00:57 PM,Wednesday,21,12/09/2015 09:26:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>,758597272,SUSPICIOUS ACTIVITY,39.3615743,"{'type': 'Point', 'coordinates': [-111.5806233, 39.3615743]}",-111.5806233,Community Policing,UT,06/05/2016 01:04:24 PM,84627
35,MARY NIELSON,15110370,EPHRAIM,,,05/03/2016 08:00:57 PM,Tuesday,13,11/10/2015 01:11:00 PM,"SECURITY/WELFARE CHECK / WELFARE CHECK, PERSON<br>",758597481,SECURITY/WELFARE CHECK,39.3596841,"{'type': 'Point', 'coordinates': [-111.5863052, 39.3596841]}",-111.5863052,Community Policing,UT,05/07/2016 01:04:33 PM,84627
36,FREDS SPORTS GRILL,15120312,MANTI,,,05/03/2016 08:00:57 PM,Wednesday,23,12/09/2015 11:07:00 PM,ASSIST OTHER AGENCY / ASSIST OTHER LAW ENFORCEMENT AGENCY<br>,758597270,ASSIST OTHER AGENCY,39.2682951,"{'type': 'Point', 'coordinates': [-111.6368627, 39.2682951]}",-111.6368627,Community Policing,UT,06/05/2016 01:04:25 PM,84642
37,200 Block EAST CENTER STR,15120329,EPHRAIM,,,05/03/2016 08:00:57 PM,Thursday,9,12/10/2015 09:20:00 AM,"OTHER ORDINANCE VIOLATION / ORDINANCE VIOLATION, OTHER<br>",758597269,OTHER ORDINANCE VIOLATION,39.3597539,"{'type': 'Point', 'coordinates': [-111.5818144, 39.3597539]}",-111.5818144,Other,UT,06/06/2016 01:03:49 PM,84627
38,300 Block E CENTER ST,15120327,EPHRAIM,,,05/03/2016 08:00:57 PM,Thursday,11,12/10/2015 11:43:00 AM,"THEFT / LARCENY, FROM BUILDING<br>",758597266,THEFT,39.3592561,"{'type': 'Point', 'coordinates': [-111.5782781, 39.3592561]}",-111.5782781,Theft,UT,06/06/2016 01:03:48 PM,84627
39,500 Block W. UNION,15110944,MANTI,,,05/03/2016 08:00:57 PM,Thursday,12,11/26/2015 12:31:00 PM,ASSIST OTHER AGENCY / ASSIST OTHER LAW ENFORCEMENT AGENCY<br>,758597366,ASSIST OTHER AGENCY,39.2654928,"{'type': 'Point', 'coordinates': [-111.6465079, 39.2654928]}",-111.6465079,Community Policing,UT,05/23/2016 01:04:00 PM,84642
40,,16041014,EPHRAIM,,,05/03/2016 08:00:45 PM,Tuesday,18,04/26/2016 06:03:00 PM,RECKLESS/DANGEROUS DRIVER / RECKLESS DRIVER<br>,758596315,RECKLESS/DANGEROUS DRIVER,,,,Traffic,UT,08/04/2016 01:04:15 PM,
41,400 Block S MAIN,15110947,EPHRAIM,,,05/03/2016 08:00:57 PM,Thursday,13,11/26/2015 01:15:00 PM,BURGLAR ALARM / BURGLAR ALARM<br>,758597365,BURGLAR ALARM,39.6082764,"{'type': 'Point', 'coordinates': [-111.4447026, 39.6082764]}",-111.4447026,Alarm,UT,05/23/2016 01:04:01 PM,84627
42,700 Block N MAIN,15110959,EPHRAIM,,,05/03/2016 08:00:57 PM,Thursday,18,11/26/2015 06:44:00 PM,ASSAULT / SIMPLE ASSAULT<br>,758597363,ASSAULT,39.3738972,"{'type': 'Point', 'coordinates': [-111.5898472, 39.3738972]}",-111.5898472,Assault,UT,05/23/2016 01:04:01 PM,84627
43,700 Block N MAIN,15110971,EPHRAIM,,,05/03/2016 08:00:57 PM,Friday,0,11/27/2015 12:07:00 AM,THEFT / SHOPLIFTING<br>,758597358,THEFT,39.3738972,"{'type': 'Point', 'coordinates': [-111.5898472, 39.3738972]}",-111.5898472,Theft,UT,05/24/2016 01:03:30 PM,84627
44,700 Block N MAIN,15120418,EPHRAIM,,,05/03/2016 08:00:57 PM,Sunday,14,12/13/2015 02:35:00 PM,THEFT / SHOPLIFTING<br>,758597255,THEFT,39.3738972,"{'type': 'Point', 'coordinates': [-111.5898472, 39.3738972]}",-111.5898472,Theft,UT,06/09/2016 01:04:17 PM,84627
45,600 Block S 10 E,16020307,EPHRAIM,,,05/03/2016 08:00:50 PM,Tuesday,12,02/09/2016 12:06:00 PM,"SECURITY/WELFARE CHECK / WELFARE CHECK, PERSON<br>",758596917,SECURITY/WELFARE CHECK,39.3475423,"{'type': 'Point', 'coordinates': [-111.5871328, 39.3475423]}",-111.5871328,Community Policing,UT,08/04/2016 01:04:06 PM,84627
46,100 Block W 200 SOUTH,16020319,EPHRAIM,,,05/03/2016 08:00:50 PM,Tuesday,15,02/09/2016 03:42:00 PM,CRIMINAL MISCHIEF / CRIMINAL MISCHIEF<br>,758596915,CRIMINAL MISCHIEF,39.3562501,"{'type': 'Point', 'coordinates': [-111.5902131, 39.3562501]}",-111.5902131,Property Crime,UT,08/04/2016 01:04:06 PM,84627
47,200 Block N MAIN,16051025,EPHRAIM,,,06/01/2016 10:48:19 AM,Tuesday,8,05/31/2016 08:12:00 AM,ALARM / <br>,761031621,ALARM,39.3646403,"{'type': 'Point', 'coordinates': [-111.5874281, 39.3646403]}",-111.5874281,Alarm,UT,08/04/2016 01:03:45 PM,84627
48,100 Block E 100 S,15110642,EPHRAIM,,,05/03/2016 08:00:57 PM,Tuesday,22,11/17/2015 10:22:00 PM,"LIQUOR LAW / LIQUOR, POSSESS<br>",758597417,LIQUOR LAW,39.358013,"{'type': 'Point', 'coordinates': [-111.5830318, 39.358013]}",-111.5830318,Liquor,UT,05/14/2016 01:08:23 PM,84627
49,300 Block E 60 S,15120480,EPHRAIM,,,05/03/2016 08:00:52 PM,Tuesday,9,12/15/2015 09:20:00 AM,THEFT / <br>,758597247,THEFT,39.347611,"{'type': 'Point', 'coordinates': [-111.5851083, 39.347611]}",-111.5851083,Theft,UT,06/12/2016 01:04:28 PM,84627
50,700 Block N MAIN,15110977,EPHRAIM,,,05/03/2016 08:00:57 PM,Friday,8,11/27/2015 08:36:00 AM,"THEFT / LARCENY, FROM VEHICLE<br>",758597356,THEFT,39.3738972,"{'type': 'Point', 'coordinates': [-111.5898472, 39.3738972]}",-111.5898472,Theft,UT,05/24/2016 01:03:31 PM,84627
51,1 Block N 180 W,15120568,EPHRAIM,,,05/03/2016 08:00:52 PM,Wednesday,21,12/16/2015 09:44:00 PM,MISSING PERSON / <br>,758597232,MISSING PERSON,40.5590214,"{'type': 'Point', 'coordinates': [-111.9704471, 40.5590214]}",-111.9704471,Missing Person,UT,06/12/2016 01:04:29 PM,84095
52,100 Block N 500 WEST,15110973,MOUNT PLEASANT,,,05/03/2016 08:00:57 PM,Friday,2,11/27/2015 02:07:00 AM,ASSIST OTHER AGENCY / ASSIST OTHER LAW ENFORCEMENT AGENCY<br>,758597357,ASSIST OTHER AGENCY,39.5489834,"{'type': 'Point', 'coordinates': [-111.4648165, 39.5489834]}",-111.4648165,Community Policing,UT,05/24/2016 01:03:31 PM,84647
53,700 Block N MAIN,16020327,EPHRAIM,,,05/03/2016 08:00:50 PM,Tuesday,17,02/09/2016 05:46:00 PM,THEFT / SHOPLIFTING<br>,758596911,THEFT,39.3738972,"{'type': 'Point', 'coordinates': [-111.5898472, 39.3738972]}",-111.5898472,Theft,UT,08/04/2016 01:04:06 PM,84627
54,300 Block N MAIN - DOWNEAST,16020333,EPHRAIM,,,05/03/2016 08:00:50 PM,Tuesday,20,02/09/2016 08:43:00 PM,BURGLAR ALARM / BURGLAR ALARM<br>,758596908,BURGLAR ALARM,39.3596841,"{'type': 'Point', 'coordinates': [-111.5863052, 39.3596841]}",-111.5863052,Alarm,UT,08/04/2016 01:04:07 PM,84627
55,1 Block E 780 S,16020352,EPHRAIM,,,05/03/2016 08:00:50 PM,Wednesday,12,02/10/2016 12:35:00 PM,CONTROLLED SUBSTANCE / OTHER CONTROLLED SUBSTANCES<br>,758596905,CONTROLLED SUBSTANCE,40.5590214,"{'type': 'Point', 'coordinates': [-111.9704471, 40.5590214]}",-111.9704471,Drugs,UT,08/04/2016 01:04:07 PM,84095
56,1 Block N 100 E,16020356,EPHRAIM,,,05/03/2016 08:00:50 PM,Wednesday,13,02/10/2016 01:45:00 PM,FOUND PROPERTY / FOUND PROPERTY<br>,758596904,FOUND PROPERTY,39.3615969,"{'type': 'Point', 'coordinates': [-111.5856514, 39.3615969]}",-111.5856514,Property Crime,UT,08/04/2016 01:04:07 PM,84627
