Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
0,400 Block MAIN ST,16JC0307,MONA,,,03/04/2016 06:28:19 AM,Tuesday,11,03/01/2016 11:03:02 AM,Description: Animal Problem,751460206,ANIMAL PROBLEM,39.8228,"{'type': 'Point', 'coordinates': [-111.855, 39.8228]}",-111.855,Community Policing,UT,03/14/2016 08:00:09 AM,
1,WEST DESERT MOUNTAIN 2 RD,18JC0358,JUAB NEPHI,,,04/09/2018 04:33:53 PM,Tuesday,9,03/27/2018 09:03:14 AM,Description: Non-Criminal Civil Complaint,842131619,NON-CRIMINAL CIVIL COMPLAINT,39.7653,"{'type': 'Point', 'coordinates': [-112.596, 39.7653]}",-112.596,Other,UT,04/10/2018 05:13:59 AM,
2,100 Block EAGLE ST,16JC0309,EUREKA,,,03/05/2016 06:28:30 AM,Wednesday,8,03/02/2016 08:03:13 AM,Description: Animal Problem,751760013,ANIMAL PROBLEM,39.9525,"{'type': 'Point', 'coordinates': [-112.117, 39.9525]}",-112.117,Community Policing,UT,03/15/2016 08:00:19 AM,
3,400 Block E 300 SOUTH ST,16JC0314,LEVAN,,,03/10/2016 06:34:33 AM,Thursday,10,03/03/2016 10:03:46 AM,Description: Citizen Assist,752212713,CITIZEN ASSIST,39.5531,"{'type': 'Point', 'coordinates': [-111.856, 39.5531]}",-111.856,Community Policing,UT,03/15/2016 08:00:19 AM,
4,700 Block E 50 SOUTH ST,16JC0321,MONA,,,03/10/2016 06:34:33 AM,Friday,17,03/04/2016 05:03:57 PM,Description: Citizen Assist,752212707,CITIZEN ASSIST,39.8153,"{'type': 'Point', 'coordinates': [-111.841, 39.8153]}",-111.841,Community Policing,UT,03/15/2016 08:00:21 AM,
5,1 Block S 200 WEST ST,16JC0322,LEVAN,,,03/10/2016 06:34:33 AM,Friday,19,03/04/2016 07:03:34 PM,Description: Traffic Offense,752212708,TRAFFIC OFFENSE,39.5572,"{'type': 'Point', 'coordinates': [-111.868, 39.5572]}",-111.868,Traffic,UT,03/15/2016 08:00:21 AM,
6,400 Block SHEEP LANE RD,16JC0330,NEPHI,,,03/10/2016 06:34:33 AM,Sunday,9,03/06/2016 09:03:12 AM,Description: Citizen Assist,752212705,CITIZEN ASSIST,39.6753,"{'type': 'Point', 'coordinates': [-111.843, 39.6753]}",-111.843,Community Policing,UT,03/19/2016 08:00:04 AM,
7,1 Block RAILROAD ST,16JC0345,EUREKA,,,03/12/2016 06:35:07 AM,Wednesday,18,03/09/2016 06:03:38 PM,Description: Criminal Mischief,752423233,CRIMINAL MISCHIEF,39.9549,"{'type': 'Point', 'coordinates': [-112.115, 39.9549]}",-112.115,Other,UT,03/22/2016 08:00:51 AM,
8,SILVER CITY,16JC0357,JUAB CO EUR GR,,,03/15/2016 05:35:32 AM,Saturday,17,03/12/2016 05:03:21 PM,Description: Citizen Assist,752763075,CITIZEN ASSIST,39.8975,"{'type': 'Point', 'coordinates': [-112.135, 39.8975]}",-112.135,Community Policing,UT,03/25/2016 08:01:43 AM,
9,2000 Block MAIN ST,16JC0362,NEPHI,,,03/19/2016 05:35:53 AM,Sunday,8,03/13/2016 08:03:12 AM,Description: Citizen Assist,753181867,CITIZEN ASSIST,39.6792,"{'type': 'Point', 'coordinates': [-111.841, 39.6792]}",-111.841,Community Policing,UT,03/26/2016 08:01:06 AM,
10,222000 Block I15 SB,16JC0613,JUAB CO NEP GR,,,05/03/2016 05:42:53 AM,Friday,12,04/29/2016 12:04:25 PM,Description: Traffic Accident-Injury,758546002,TRAFFIC ACCIDENT-INJURY,39.6747,"{'type': 'Point', 'coordinates': [-111.851, 39.6747]}",-111.851,Traffic,UT,05/12/2016 08:00:08 AM,
11,NEBO LOOP,16JC0617,JUAB CO NEP GR,,,05/03/2016 05:42:53 AM,Saturday,8,04/30/2016 08:04:56 AM,Description: Citizen Assist,758546003,CITIZEN ASSIST,39.7839,"{'type': 'Point', 'coordinates': [-111.701, 39.7839]}",-111.701,Community Policing,UT,05/13/2016 08:00:04 AM,
12,OASIS CAMPSITE,16JC0622,LITTLE SAHARA,,,05/04/2016 05:43:05 AM,Sunday,1,05/01/2016 01:05:16 AM,Description: Citizen Assist,758621673,CITIZEN ASSIST,39.6893,"{'type': 'Point', 'coordinates': [-112.355, 39.6893]}",-112.355,Community Policing,UT,05/14/2016 08:00:05 AM,
13,SAND MOUNTAIN CAMPSITE,16JC0624,LITTLE SAHARA,,,05/04/2016 05:43:05 AM,Sunday,10,05/01/2016 10:05:43 AM,Description: Citizen Assist,758621675,CITIZEN ASSIST,39.6416,"{'type': 'Point', 'coordinates': [-112.387, 39.6416]}",-112.387,Community Policing,UT,05/14/2016 08:00:05 AM,
14,211900 Block I15 NB,15JC0898,JUAB CO LEV GR,,,07/08/2015 08:04:03 AM,Sunday,11,07/05/2015 11:07:33 AM,Description: Citizen Assist,723425022,CITIZEN ASSIST,39.5566,"{'type': 'Point', 'coordinates': [-111.945, 39.5566]}",-111.945,Community Policing,UT,07/18/2015 08:00:17 AM,
15,400 Block E 200 NORTH ST,15JC0899,LEVAN,,,07/08/2015 08:04:03 AM,Sunday,13,07/05/2015 01:07:40 PM,Description: Traffic Accident-Injury,723425023,TRAFFIC ACCIDENT-INJURY,39.5603,"{'type': 'Point', 'coordinates': [-111.856, 39.5603]}",-111.856,Traffic,UT,07/18/2015 08:00:17 AM,
16,125900 Block US6,15JC0900,JUAB CO NEP GR,,,07/08/2015 08:04:03 AM,Sunday,13,07/05/2015 01:07:41 PM,Description: Traffic Accident-Injury,723425024,TRAFFIC ACCIDENT-INJURY,39.7698,"{'type': 'Point', 'coordinates': [-112.164, 39.769800000000004]}",-112.164,Traffic,UT,07/18/2015 08:00:17 AM,
17,100 Block W 100 NORTH ST,15JC0906,MONA,,,07/09/2015 08:04:04 AM,Monday,15,07/06/2015 03:07:12 PM,Description: Citizen Assist,723521190,CITIZEN ASSIST,39.8176,"{'type': 'Point', 'coordinates': [-111.857, 39.8176]}",-111.857,Community Policing,UT,07/19/2015 08:01:21 AM,
18,17900 Block SR132,16JC0383,JUAB CO NEP GR,,,03/22/2016 05:36:40 AM,Saturday,21,03/19/2016 09:03:10 PM,Description: Traffic Accident-Injury,753437301,TRAFFIC ACCIDENT-INJURY,39.6435,"{'type': 'Point', 'coordinates': [-112.093, 39.6435]}",-112.093,Traffic,UT,04/01/2016 08:00:05 AM,
19,200 Block S 350 WEST ST,15JC0880,MONA,,,07/09/2015 08:04:04 AM,Thursday,18,07/02/2015 06:07:38 PM,Description: Citizen Assist,723521192,CITIZEN ASSIST,39.8127,"{'type': 'Point', 'coordinates': [-111.862, 39.8127]}",-111.862,Community Policing,UT,07/15/2015 08:02:31 AM,
20,219900 Block I15 NB,17JC1633,JUAB CO NEP GR,,,12/28/2017 11:05:50 AM,Saturday,9,12/23/2017 09:12:05 AM,Description: Traffic Offense,830363093,TRAFFIC OFFENSE,39.6576,"{'type': 'Point', 'coordinates': [-111.883, 39.6576]}",-111.883,Traffic,UT,01/07/2018 10:44:45 PM,
21,300 Block CENTER ST,18JC0135,NEPHI,,,02/08/2018 07:26:08 AM,Monday,11,02/05/2018 11:02:03 AM,Description: Criminal Mischief,833635942,CRIMINAL MISCHIEF,39.7086,"{'type': 'Point', 'coordinates': [-111.843, 39.7086]}",-111.843,Other,UT,02/19/2018 06:26:12 AM,
22,222000 Block I15 SB,17JC1499,JUAB CO NEP GR,,,11/20/2017 11:05:40 AM,Thursday,18,11/16/2017 06:11:20 PM,Description: Citizen Assist,827067944,CITIZEN ASSIST,39.6747,"{'type': 'Point', 'coordinates': [-111.851, 39.6747]}",-111.851,Community Policing,UT,11/29/2017 11:08:10 AM,
23,SAMPSON LN,17JC1504,JUAB CO LEV GR,,,11/20/2017 11:05:40 AM,Friday,15,11/17/2017 03:11:48 PM,Description: Animal Problem,827067947,ANIMAL PROBLEM,39.5685,"{'type': 'Point', 'coordinates': [-111.87, 39.5685]}",-111.87,Community Policing,UT,11/30/2017 11:07:12 AM,
24,900 Block SR54,17JC1526,JUAB CO MON GR,,,11/27/2017 11:06:00 AM,Friday,5,11/24/2017 05:11:14 AM,Description: Traffic Offense,827529720,TRAFFIC OFFENSE,39.8214,"{'type': 'Point', 'coordinates': [-111.837, 39.8214]}",-111.837,Traffic,UT,12/07/2017 11:06:45 AM,
25,100 Block MAIN ST,17JC1554,LEVAN,,,12/04/2017 11:05:42 AM,Friday,14,12/01/2017 02:12:04 PM,Description: Citizen Assist,828178999,CITIZEN ASSIST,39.5553,"{'type': 'Point', 'coordinates': [-111.864, 39.5553]}",-111.864,Community Policing,UT,12/14/2017 11:19:16 AM,
26,200 Block S 400 EAST ST,17JC1563,LEVAN,,,12/06/2017 11:05:43 AM,Sunday,9,12/03/2017 09:12:32 AM,Description: Citizen Assist,828351382,CITIZEN ASSIST,39.5543,"{'type': 'Point', 'coordinates': [-111.856, 39.5543]}",-111.856,Community Policing,UT,12/16/2017 11:41:28 AM,
