Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
905,2000 Block PARK AVE,17-20940,PARK CITY,,,12/05/2017 10:46:00 AM,Monday,13,12/04/2017 01:12:09 PM,Fraud,828265191,FRAUD,40.6635,"{'type': 'Point', 'coordinates': [-111.512, 40.6635]}",-111.512,Theft,UT,05/10/2018 04:16:20 PM,
0,1200 Block PARK AVE,A10-24288,PARK CITY,,,01/23/2012 08:43:22 PM,Tuesday,9,10/26/2010 09:10:01 AM,Crim Mischief,95483627,CRIM MISCHIEF,40.6507278,"{'type': 'Point', 'coordinates': [-111.5031987, 40.6507278]}",-111.5031987,Property Crime,UT,03/25/2018 05:25:14 AM,84060
1,400 Block SWEDE ALY,15-19052,PARK CITY,,,10/21/2015 07:22:18 AM,Wednesday,0,10/21/2015 12:10:55 AM,Suspicious,734697515,SUSPICIOUS,40.6439,"{'type': 'Point', 'coordinates': [-111.495, 40.6439]}",-111.495,Disorder,UT,10/28/2015 09:30:46 AM,
2,1000 Block IRON HORSE DR,16-09075,PARK CITY,,,05/24/2016 07:16:49 AM,Tuesday,0,05/03/2016 12:05:00 AM,Crim Mischief,760351917,CRIM MISCHIEF,40.6586,"{'type': 'Point', 'coordinates': [-111.505, 40.6586]}",-111.505,Property Crime,UT,05/30/2016 09:31:00 AM,
3,2000 Block PARK AVE,16-09086,PARK CITY,,,05/24/2016 07:16:49 AM,Thursday,10,05/12/2016 10:05:41 AM,Harassment,760351928,HARASSMENT,40.6635,"{'type': 'Point', 'coordinates': [-111.512, 40.6635]}",-111.512,Disorder,UT,07/16/2016 09:30:57 AM,
4,1 Block SR224,12-04210,PARK CITY,,,02/17/2012 10:02:00 AM,Thursday,12,02/16/2012 12:02:47 PM,DUI,99518563,DUI,40.6837,"{'type': 'Point', 'coordinates': [-111.538, 40.6837]}",-111.538,Liquor,UT,03/04/2018 06:34:31 AM,
5,1300 Block SULLIVAN RD,16-09073,PARK CITY,,,05/24/2016 07:16:49 AM,Monday,14,05/23/2016 02:05:23 PM,Suspicious,760351915,SUSPICIOUS,40.6531,"{'type': 'Point', 'coordinates': [-111.504, 40.6531]}",-111.504,Disorder,UT,05/30/2016 09:30:59 AM,
6,900 Block PARK AVE,16-09079,PARK CITY,,,05/24/2016 07:16:49 AM,Monday,17,05/23/2016 05:05:49 PM,Traffic Stop,760351921,TRAFFIC STOP,40.6485,"{'type': 'Point', 'coordinates': [-111.5, 40.6485]}",-111.5,Vehicle Stop,UT,05/30/2016 09:31:00 AM,
7,SWEDE ALY & MAIN ST,16-09088,PARK CITY,,,05/24/2016 07:16:49 AM,Monday,23,05/23/2016 11:05:05 PM,Traffic Stop,760351930,TRAFFIC STOP,40.6409,"{'type': 'Point', 'coordinates': [-111.494, 40.6409]}",-111.494,Vehicle Stop,UT,05/30/2016 09:31:02 AM,
8,KEARNS BLVD & COMSTOCK DR,16-09090,PARK CITY,,,05/24/2016 07:16:49 AM,Monday,23,05/23/2016 11:05:08 PM,Traffic Stop,760351932,TRAFFIC STOP,40.668,"{'type': 'Point', 'coordinates': [-111.492, 40.668]}",-111.492,Vehicle Stop,UT,07/16/2016 09:30:57 AM,
