column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
0,1000 Block S POINTE PERRY DR,15-P01549,PERRY,,12/31/2015 11:12:17 AM,Wednesday,12,12/30/2015 12:48:02 PM,Vandalism,742623389,Vandalism,41.4620045,"{'type': 'Point', 'coordinates': [-112.0432171, 41.4620045]}",-112.0432171,Property Crime,UT,02/28/2016 01:30:56 PM,84302
1,1700 Block S US 89,16-P00005,PERRY,,01/02/2016 11:11:56 AM,Friday,17,01/01/2016 05:10:47 PM,Hit & Run PD,742754753,Hit & Run PD,41.4780719,"{'type': 'Point', 'coordinates': [-112.0226398, 41.4780719]}",-112.0226398,Traffic,UT,03/01/2016 01:31:13 PM,84302
2,1200 Block S COMMERCE WAY,16-P00006,PERRY,,01/02/2016 11:11:56 AM,Saturday,4,01/02/2016 04:44:18 AM,Property Damage,742754754,Property Damage,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Property Crime,UT,03/02/2016 01:34:34 PM,84302
3,S POINTE PERRY DR,16-P00013,PERRY,,01/04/2016 11:11:40 AM,Monday,4,01/04/2016 04:13:13 AM,Property Damage,742923954,Property Damage,41.4620045,"{'type': 'Point', 'coordinates': [-112.0432171, 41.4620045]}",-112.0432171,Property Crime,UT,03/04/2016 01:31:23 PM,84302
4,1200 Block S COMMERCE WAY,16-P00074,PERRY,,01/25/2016 11:08:24 AM,Tuesday,9,01/19/2016 09:11:04 AM,Fraud,746843931,fraud,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Theft,UT,03/19/2016 12:31:04 PM,84302
5,1200 Block S COMMERCE WAY,16-P00075,PERRY,,01/20/2016 11:09:10 AM,Tuesday,12,01/19/2016 12:37:07 PM,Theft,745826701,Theft,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Theft,UT,03/19/2016 12:31:04 PM,84302
6,1000 Block W WHITE ST,16-P01243,PERRY,,08/29/2016 10:31:52 AM,Sunday,22,08/28/2016 10:58:12 PM,Family Fight,770026481,Family Fight,41.46175,"{'type': 'Point', 'coordinates': [-112.0412302, 41.46175]}",-112.0412302,Family Offense,UT,10/27/2016 12:31:22 PM,84302
7,1 Block E 1550 S,18-P00262,PERRY,,02/20/2018 10:57:36 PM,Tuesday,14,01/16/2018 02:12:44 PM,Fraud,834723675,fraud,41.48046799999999,"{'type': 'Point', 'coordinates': [-112.014746, 41.480468]}",-112.014746,Theft,UT,03/18/2018 11:01:05 AM,84302
8,1200 Block S COMMERCE WAY,15-P00990,PERRY,,08/28/2015 12:35:00 PM,Thursday,10,08/27/2015 10:00:13 AM,Theft,728648847,Theft,41.4841229,"{'type': 'Point', 'coordinates': [-112.0303556, 41.4841229]}",-112.0303556,Theft,UT,10/26/2015 12:31:41 PM,84302
9,2700 Block S PEACH ST,16-P00046,PERRY,,01/12/2016 11:10:24 AM,Monday,9,01/11/2016 09:17:19 AM,Vehicle Burg,743981828,Vehicle Burg,41.46041,"{'type': 'Point', 'coordinates': [-112.030327, 41.46041]}",-112.030327,Theft from Vehicle,UT,03/10/2016 01:30:54 PM,84302
10,400 Block W 2800 S,16-P00047,PERRY,,01/12/2016 11:10:24 AM,Monday,9,01/11/2016 09:25:59 AM,Vehicle Burg,743981829,Vehicle Burg,41.459452,"{'type': 'Point', 'coordinates': [-112.0303041, 41.459452]}",-112.0303041,Theft from Vehicle,UT,03/10/2016 01:30:54 PM,84302
11,2400 Block S US 89,18-P01003,PERRY,,03/07/2018 10:14:41 PM,Wednesday,14,03/07/2018 02:58:46 PM,Property Damage,836509439,Property Damage,41.4652042,"{'type': 'Point', 'coordinates': [-112.0329608, 41.4652042]}",-112.0329608,Property Crime,UT,04/29/2018 09:02:33 PM,84302
12,400 Block W 2100 S,16-P00056,PERRY,,01/14/2016 11:10:09 AM,Wednesday,21,01/13/2016 09:48:04 PM,Threatening,744647257,Threatening,41.471533,"{'type': 'Point', 'coordinates': [-112.027279, 41.471533]}",-112.027279,Assault,UT,03/13/2016 12:31:00 PM,84302
13,2400 Block S US 89,18-P01006,PERRY,,03/07/2018 10:14:41 PM,Wednesday,15,03/07/2018 03:09:09 PM,Property Damage,836509442,Property Damage,41.464792,"{'type': 'Point', 'coordinates': [-112.0330589, 41.464792]}",-112.0330589,Property Crime,UT,04/29/2018 09:02:33 PM,84302
14,2300 Block S US 89,16-P00060,PERRY,,01/15/2016 11:09:58 AM,Thursday,18,01/14/2016 06:37:47 PM,Keep The Peace,744846757,Keep The Peace,41.4670179,"{'type': 'Point', 'coordinates': [-112.0318608, 41.4670179]}",-112.0318608,Disorder,UT,03/14/2016 12:33:21 PM,84302
15,2700 Block S 1000 W,16-P00084,PERRY,,01/26/2016 11:08:31 AM,Sunday,15,01/24/2016 03:58:14 PM,Vandalism,746925219,Vandalism,41.4588901,"{'type': 'Point', 'coordinates': [-112.0385672, 41.4588901]}",-112.0385672,Property Crime,UT,03/24/2016 12:31:06 PM,84302
16,1200 Block S COMMERCE WAY,16-P00127,PERRY,,02/08/2016 11:06:27 AM,Saturday,13,02/06/2016 01:05:41 PM,Theft,749374844,Theft,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Theft,UT,04/06/2016 12:30:59 PM,84302
17,1000 Block W WHITE ST,16-P00131,PERRY,,02/08/2016 11:06:27 AM,Sunday,20,02/07/2016 08:17:52 PM,Family Fight,749374847,Family Fight,41.46175,"{'type': 'Point', 'coordinates': [-112.0412302, 41.46175]}",-112.0412302,Family Offense,UT,04/07/2016 12:30:55 PM,84302
18,1000 Block S POINTE PERRY DR,16-P00141,PERRY,,02/12/2016 11:05:50 AM,Wednesday,21,02/10/2016 09:12:59 PM,Disorderly,749699085,Disorderly,41.4620045,"{'type': 'Point', 'coordinates': [-112.0432171, 41.4620045]}",-112.0432171,Disorder,UT,04/10/2016 12:30:59 PM,84302
19,2300 Block S 385 W,18-P01260,PERRY,,03/23/2018 09:32:23 AM,Friday,2,03/23/2018 02:29:59 AM,Property Damage,838848581,Property Damage,41.4670119,"{'type': 'Point', 'coordinates': [-112.024366, 41.4670119]}",-112.024366,Property Crime,UT,04/29/2018 09:02:56 PM,84302
20,2200 Block S 340 W,16-P00152,PERRY,,02/18/2016 11:04:54 AM,Wednesday,6,02/17/2016 06:10:47 AM,Vehicle Burg,750211994,Vehicle Burg,41.468294,"{'type': 'Point', 'coordinates': [-112.023902, 41.468294]}",-112.023902,Theft from Vehicle,UT,04/17/2016 12:30:58 PM,84302
21,3000 Block S PERRY ST,15-P01023,PERRY,,09/02/2015 12:34:51 PM,Tuesday,16,09/01/2015 04:40:12 PM,Fraud,729127652,fraud,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Theft,UT,10/31/2015 12:31:58 PM,84302
22,2200 Block S US 89,15-P01030,PERRY,,09/04/2015 12:34:54 PM,Thursday,12,09/03/2015 12:23:47 PM,Disorderly,729362406,Disorderly,41.4687304,"{'type': 'Point', 'coordinates': [-112.030434, 41.4687304]}",-112.030434,Disorder,UT,11/02/2015 01:32:25 PM,84302
23,1 Block E 1800 S,16-P00044,PERRY,,01/12/2016 11:10:24 AM,Monday,6,01/11/2016 06:51:48 AM,Vehicle Burg,743981826,Vehicle Burg,41.4772013,"{'type': 'Point', 'coordinates': [-112.0144798, 41.4772013]}",-112.0144798,Theft from Vehicle,UT,03/10/2016 01:30:53 PM,84302
24,3000 Block S PERRY ST,16-P00045,PERRY,,01/12/2016 11:10:24 AM,Monday,9,01/11/2016 09:03:45 AM,Fraud,743981827,fraud,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Theft,UT,03/10/2016 01:30:54 PM,84302
25,400 Block W 2100 S,16-P00055,PERRY,,01/14/2016 11:10:09 AM,Wednesday,20,01/13/2016 08:35:23 PM,Threatening,744647256,Threatening,41.471533,"{'type': 'Point', 'coordinates': [-112.027279, 41.471533]}",-112.027279,Assault,UT,03/13/2016 12:31:00 PM,84302
26,2600 Block S US 89,18-P01864,PERRY,,04/29/2018 05:06:49 AM,Saturday,18,04/28/2018 06:37:33 PM,Drugs,844988051,Drugs,41.4625309,"{'type': 'Point', 'coordinates': [-112.036063, 41.4625309]}",-112.036063,Drugs,UT,04/30/2018 06:27:05 AM,84302
27,2400 Block S PEACH ST,16-P00087,PERRY,,01/27/2016 11:08:10 AM,Tuesday,7,01/26/2016 07:17:59 AM,Theft Automobil,747001335,Theft Automobil,41.465504,"{'type': 'Point', 'coordinates': [-112.026214, 41.465504]}",-112.026214,Theft of Vehicle,UT,03/26/2016 12:31:23 PM,84302
28,2200 Block S US 89,16-P00095,PERRY,,01/30/2016 11:07:49 AM,Friday,12,01/29/2016 12:21:31 PM,Drugs,748344606,Drugs,41.4692013,"{'type': 'Point', 'coordinates': [-112.0300393, 41.4692013]}",-112.0300393,Drugs,UT,03/28/2016 12:31:11 PM,84302
29,3000 Block S PERRY ST,16-P00156,PERRY,,02/27/2016 11:03:45 AM,Wednesday,18,02/17/2016 06:52:27 PM,Theft,750984267,Theft,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Theft,UT,04/17/2016 12:30:59 PM,84302
30,1400 Block S 25 E,16-P00337,PERRY,,04/07/2016 10:09:41 AM,Wednesday,10,04/06/2016 10:19:35 AM,Theft,755967455,Theft,41.483984,"{'type': 'Point', 'coordinates': [-112.015237, 41.483984]}",-112.015237,Theft,UT,06/05/2016 12:30:52 PM,84302
31,3000 Block S PERRY ST,16-P00495,PERRY,,05/16/2016 10:15:32 AM,Sunday,16,05/15/2016 04:15:47 PM,Harassment,759566150,Harassment,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Assault,UT,07/14/2016 12:31:32 PM,84302
32,1400 Block W 3550 S,16-P00496,PERRY,,05/16/2016 10:15:32 AM,Sunday,16,05/15/2016 04:35:24 PM,Drugs,759566151,Drugs,41.4455918,"{'type': 'Point', 'coordinates': [-112.0489204, 41.4455918]}",-112.0489204,Drugs,UT,07/14/2016 12:31:32 PM,84302
33,3000 Block S PERRY ST,16-P00502,PERRY,,05/17/2016 10:15:43 AM,Monday,17,05/16/2016 05:02:47 PM,Harassment,759726202,Harassment,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Assault,UT,07/15/2016 12:31:33 PM,84302
34,1200 Block S COMMERCE WAY,16-P00503,PERRY,,05/17/2016 10:15:43 AM,Monday,18,05/16/2016 06:44:19 PM,Trespassing,759726203,Trespassing,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Other,UT,07/15/2016 12:31:33 PM,84302
35,2000 Block S 100 W,18-P00426,PERRY,,01/30/2018 10:01:52 PM,Friday,17,01/26/2018 05:38:24 PM,Burglary,832917638,Burglary,41.4695894,"{'type': 'Point', 'coordinates': [-112.0201677, 41.4695894]}",-112.0201677,Breaking & Entering,UT,03/28/2018 05:54:14 AM,84302
36,400 Block W 2750 S,16-P00286,PERRY,,03/26/2016 10:07:49 AM,Friday,7,03/25/2016 07:41:03 AM,Reckless Drivin,754027184,Reckless Drivin,41.459585,"{'type': 'Point', 'coordinates': [-112.029488, 41.459585]}",-112.029488,Traffic,UT,05/24/2016 12:31:03 PM,84302
37,2700 Block S US 89,16-P00290,PERRY,,03/26/2016 10:07:49 AM,Friday,12,03/25/2016 12:51:42 PM,Harassment,754027187,Harassment,41.4591573,"{'type': 'Point', 'coordinates': [-112.0375047, 41.4591573]}",-112.0375047,Assault,UT,05/24/2016 12:31:04 PM,84302
38,2700 Block S PEACH ST,16-P00299,PERRY,,03/30/2016 10:08:35 AM,Monday,9,03/28/2016 09:23:12 AM,Vehicle Burg,754714437,Vehicle Burg,41.4598215,"{'type': 'Point', 'coordinates': [-112.0306897, 41.4598215]}",-112.0306897,Theft from Vehicle,UT,05/27/2016 12:30:55 PM,84302
39,600 Block W 2950 S,16-P00300,PERRY,,03/30/2016 10:08:35 AM,Monday,9,03/28/2016 09:58:36 AM,Vehicle Burg,754714438,Vehicle Burg,41.456279,"{'type': 'Point', 'coordinates': [-112.033171, 41.456279]}",-112.033171,Theft from Vehicle,UT,05/27/2016 12:30:55 PM,84302
40,2400 Block S LINDA WAY,16-P00310,PERRY,,03/31/2016 10:08:41 AM,Wednesday,15,03/30/2016 03:04:59 PM,Family Fight,755198963,Family Fight,41.465679,"{'type': 'Point', 'coordinates': [-112.03864, 41.465679]}",-112.03864,Family Offense,UT,05/29/2016 12:30:55 PM,84302
41,3000 Block S US 89,16-P00455,PERRY,,05/07/2016 10:14:15 AM,Friday,15,05/06/2016 03:01:22 PM,Reckless Drivin,758871245,Reckless Drivin,41.4543593,"{'type': 'Point', 'coordinates': [-112.0386957, 41.4543593]}",-112.0386957,Traffic,UT,07/05/2016 12:32:22 PM,84302
42,1800 Block S US 89,16-P00456,PERRY,,05/07/2016 10:14:15 AM,Friday,15,05/06/2016 03:30:36 PM,Burglary,758871246,Burglary,41.4769115,"{'type': 'Point', 'coordinates': [-112.0235691, 41.4769115]}",-112.0235691,Breaking & Entering,UT,07/05/2016 12:32:22 PM,84302
43,1200 Block S COMMERCE WAY,16-P00457,PERRY,,05/07/2016 10:14:15 AM,Friday,17,05/06/2016 05:45:10 PM,Child Abuse,758871247,Child Abuse,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Family Offense,UT,07/05/2016 12:32:22 PM,84302
44,100 Block W 1750 S,16-P00504,PERRY,,05/17/2016 10:15:43 AM,Monday,22,05/16/2016 10:41:51 PM,Noise Complaint,759726204,Noise Complaint,41.478936,"{'type': 'Point', 'coordinates': [-112.01809, 41.478936]}",-112.01809,Disorder,UT,07/15/2016 12:31:34 PM,84302
45,1000 Block W WHITE ST,16-P00508,PERRY,,05/18/2016 10:15:56 AM,Tuesday,18,05/17/2016 06:58:20 PM,Keep The Peace,759866235,Keep The Peace,41.46175,"{'type': 'Point', 'coordinates': [-112.0412302, 41.46175]}",-112.0412302,Disorder,UT,07/16/2016 12:31:17 PM,84302
46,2200 Block S US 89,16-P00510,PERRY,,05/19/2016 10:16:08 AM,Wednesday,7,05/18/2016 07:26:58 AM,Reckless Drivin,759948624,Reckless Drivin,41.4692119,"{'type': 'Point', 'coordinates': [-112.0299862, 41.4692119]}",-112.0299862,Traffic,UT,07/17/2016 12:31:15 PM,84302
47,2200 Block S LINDA WAY,16-P00520,PERRY,,05/21/2016 10:16:23 AM,Friday,14,05/20/2016 02:19:15 PM,Theft,760112267,Theft,41.470121,"{'type': 'Point', 'coordinates': [-112.035564, 41.470121]}",-112.035564,Theft,UT,07/19/2016 12:31:13 PM,84302
48,100 Block W 1750 S,16-P00522,PERRY,,05/21/2016 10:16:23 AM,Friday,23,05/20/2016 11:43:47 PM,Noise Complaint,760112268,Noise Complaint,41.478936,"{'type': 'Point', 'coordinates': [-112.01809, 41.478936]}",-112.01809,Disorder,UT,07/19/2016 12:31:13 PM,84302
49,400 Block W 2000 S,16-P00523,PERRY,,05/22/2016 10:26:39 AM,Saturday,18,05/21/2016 06:21:17 PM,Threatening,760178599,Threatening,41.4740759,"{'type': 'Point', 'coordinates': [-112.025138, 41.4740759]}",-112.025138,Assault,UT,07/20/2016 12:31:09 PM,84302
50,600 Block W DAVIS DR,16-P00524,PERRY,,05/22/2016 10:26:39 AM,Saturday,22,05/21/2016 10:48:49 PM,Simple Assault,760178600,Simple Assault,41.4687262,"{'type': 'Point', 'coordinates': [-112.0319948, 41.4687262]}",-112.0319948,Assault,UT,07/20/2016 12:31:10 PM,84302
51,1200 Block S COMMERCE WAY,15-P01506,PERRY,,12/20/2015 11:13:52 AM,Saturday,13,12/19/2015 01:04:29 PM,Trespassing,741780854,Trespassing,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Other,UT,02/17/2016 01:30:59 PM,84302
52,2400 Block S US 89,18-P01004,PERRY,,03/07/2018 10:14:41 PM,Wednesday,15,03/07/2018 03:03:51 PM,Property Damage,836509440,Property Damage,41.4652042,"{'type': 'Point', 'coordinates': [-112.0329608, 41.4652042]}",-112.0329608,Property Crime,UT,04/29/2018 09:02:33 PM,84302
53,1200 Block W 2450 S,18-P01733,PERRY,,04/25/2018 06:57:24 PM,Thursday,11,04/19/2018 11:38:50 AM,Fraud,844002927,fraud,41.4694901,"{'type': 'Point', 'coordinates': [-112.0479158, 41.4694901]}",-112.0479158,Theft,UT,04/30/2018 12:52:04 PM,84302
54,3000 Block S PERRY ST,15-P01509,PERRY,,12/22/2015 11:13:34 AM,Monday,8,12/21/2015 08:42:54 AM,Drugs,741980303,Drugs,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Drugs,UT,02/19/2016 01:32:04 PM,84302
55,1700 Block S US 89,15-P01516,PERRY,,12/24/2015 11:13:19 AM,Wednesday,15,12/23/2015 03:46:47 PM,Stab/Gunshot,742131003,Stab/Gunshot,41.4789569,"{'type': 'Point', 'coordinates': [-112.0215834, 41.4789569]}",-112.0215834,Assault with Deadly Weapon,UT,02/21/2016 01:30:48 PM,84302
56,3000 Block S US 89,18-P00387,PERRY,,01/30/2018 10:01:52 PM,Wednesday,14,01/24/2018 02:18:51 PM,Theft,832917615,Theft,41.4551927,"{'type': 'Point', 'coordinates': [-112.0386952, 41.4551927]}",-112.0386952,Theft,UT,03/26/2018 01:50:01 PM,84302
57,1200 Block S COMMERCE WAY,15-P01519,PERRY,,12/24/2015 11:13:19 AM,Thursday,2,12/24/2015 02:04:49 AM,Disorderly,742131005,Disorderly,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Disorder,UT,02/22/2016 01:31:09 PM,84302
