Year,NPI,NPPES Provider Last Name,NPPES Provider First Name,NPPES Provider ZIP Code,City,County,NPPES Provider State,Specialty Description,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,Extended-Release Opioid Claims,Extended-Release Opioid Prescribing Rate
2015,1558470641,SUNDWALL,PETER,84004,Alpine,Utah,UT,Family Practice,951,79,0.0831,,
2016,1558470641,SUNDWALL,PETER,84004,Alpine,Utah,UT,Family Practice,392,,,0,
2015,1417066564,EGAN,DANIEL,84004,Alpine,Utah,UT,Family Practice,61,,,,
2015,1588781124,STUCKI,GRANT,84004,Alpine,Utah,UT,Dentist,51,,,,
2016,1588781124,STUCKI,GRANT,84004,Alpine,Utah,UT,Dentist,49,19,0.3878,0,0
2016,1417066564,EGAN,DANIEL,84004,Alpine,Utah,UT,Family Practice,44,0,0,0,
2015,1538186069,STUCKI,RANDALL,84004,Alpine,Utah,UT,Dentist,42,,,,
2015,1003148404,PARKER,VIRGIL,84004,Alpine,Utah,UT,Internal Medicine,35,0,0,,
2016,1306945308,EBERTING,CHERYL LEE,84004,Alpine,Utah,UT,Dermatology,34,,,0,
2016,1003148404,PARKER,VIRGIL,84004,Alpine,Utah,UT,Internal Medicine,32,0,0,0,
2016,1568792760,SCOTT,DAVID,84004,Alpine,Utah,UT,Pediatric Medicine,31,0,0,0,
2015,1306945308,EBERTING,CHERYL LEE,84004,Alpine,Utah,UT,Dermatology,31,0,0,,
2016,1538186069,STUCKI,RANDALL,84004,Alpine,Utah,UT,Dentist,29,,,0,
2016,1245302751,LARSEN,GARON,84004,Alpine,Utah,UT,Dentist,28,,,0,
2015,1568792760,SCOTT,DAVID,84004,Alpine,Utah,UT,Pediatric Medicine,22,0,0,,
2015,1184742850,JENSEN,AARON,84004,Alpine,Utah,UT,Dentist,20,,,,
2015,1245302751,LARSEN,GARON,84004,Alpine,Utah,UT,Dentist,19,,,,
2016,1184742850,JENSEN,AARON,84004,Alpine,Utah,UT,Dentist,14,0,0,0,
2015,1831384452,COOK,JOSEPH,84003,American Fork,Utah,UT,Family Practice,29988,222,0.0074,,
2016,1831384452,COOK,JOSEPH,84003,American Fork,Utah,UT,Family Practice,18074,67,0.0037,0,0
2016,1619908001,HUDDLESTON,JASON,84003,American Fork,Utah,UT,Internal Medicine,14305,981,0.0686,119,0.1213
2015,1619908001,HUDDLESTON,JASON,84003,American Fork,Utah,UT,Internal Medicine,14286,952,0.0666,119,0.125
2015,1063475341,LING,YUN,84003,American Fork,Utah,UT,Internal Medicine,14160,1398,0.0987,189,0.1352
2015,1306952056,HAFEN,MARK,84003,American Fork,Utah,UT,Family Practice,13738,1090,0.0793,26,0.0239
2016,1063475341,LING,YUN,84003,American Fork,Utah,UT,Internal Medicine,13296,1743,0.1311,252,0.1446
2016,1306952056,HAFEN,MARK,84003,American Fork,Utah,UT,Family Practice,12206,854,0.07,18,0.0211
2016,1376505123,BALL,CARLA,84003,American Fork,Utah,UT,Nurse Practitioner,9815,54,0.0055,0,0
2016,1336524107,POULSEN,PAMELA,84003,American Fork,Utah,UT,Nurse Practitioner,9708,197,0.0203,0,0
2015,1134136302,WELCH,VON,84003,American Fork,Utah,UT,Internal Medicine,9266,468,0.0505,14,0.0299
2015,1053429563,MURDOCK,KENNETH,84003,American Fork,Utah,UT,Family Practice,8656,508,0.0587,13,0.0256
2016,1134136302,WELCH,VON,84003,American Fork,Utah,UT,Internal Medicine,8559,393,0.0459,16,0.0407
2015,1659307809,EBERT,SHELLY,84003,American Fork,Utah,UT,Nurse Practitioner,8423,416,0.0494,,
2016,1053429563,MURDOCK,KENNETH,84003,American Fork,Utah,UT,Family Practice,8368,519,0.062,,
2015,1134238207,HAFEN,DAVID,84003,American Fork,Utah,UT,Family Practice,7009,300,0.0428,,
2016,1134238207,HAFEN,DAVID,84003,American Fork,Utah,UT,Family Practice,6756,264,0.0391,,
2016,1033228283,MOWER,DOUGLAS,84003,American Fork,Utah,UT,Family Practice,6267,255,0.0407,0,0
2015,1033228283,MOWER,DOUGLAS,84003,American Fork,Utah,UT,Family Practice,5821,272,0.0467,,
2015,1336140821,VAN ZANT,JIM,84003,American Fork,Utah,UT,Nurse Practitioner,5592,45,0.008,,
2016,1174633408,SCLAFANI,SHAUNA,84003,American Fork,Utah,UT,Physician Assistant,5071,,,0,
